,,,,,,,,,,,
Gerencia,Cadena,Plu,Nombre Plu,Subl,Sublinea,Subcat,Subcategoria,Marc,Marca,Clase Marca,Estrategia
Gran Consumo,Éxito,3254345,Caldo De Costilla 12 Cubos,402,SALSAS Y CONDIMENTOS,6620,CALDOS OTROS,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3257072,Aceite Vegetal,403,ACEITES COMESTIBLES,7820,ACEITES MEZCLAS,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3257073,Aceite Vegetal,403,ACEITES COMESTIBLES,7820,ACEITES MEZCLAS,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3259113,Atun Lomo Agua,94,ENLATADOS,2110,ATUNES EN AGUA,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3259114,Atun Lomo Agua,94,ENLATADOS,2110,ATUNES EN AGUA,36937,CARULLA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3260266,Durazno en Almibar,94,ENLATADOS,7260,DURAZNOS/MELOCOTON CONSERVA,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3264842,Papel Higienico Premium 3HX12,67,PAPELES Y ABSORBENTES,8010,PAPEL HIGIENICO PREMIUM,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3264843,Papel Higienico Premium 3HX12,67,PAPELES Y ABSORBENTES,8010,PAPEL HIGIENICO PREMIUM,36937,CARULLA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3264845,Papel Higienico Premium 3HX12,67,PAPELES Y ABSORBENTES,8010,PAPEL HIGIENICO PREMIUM,24666,T/L/D TODOS LOS DIAS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3276481,Atun Lomo Aceite,94,ENLATADOS,2120,ATUNES EN ACEITE,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3276485,Atun Lomo Aceite,94,ENLATADOS,2120,ATUNES EN ACEITE,36937,CARULLA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3277050,Tostada Blanca,81,PANADERIA INUSTRI.Y REPOSTERIA,1970,TOSTADAS,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3280457,Queso Parmesano,83,DERIVADOS LACTEOS,2570,RALLADOS,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3283975,Arena para gatos,401,MASCOTAS,1435,ARENAS Y TAPETES,33444,PUK?,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3287802,Atún Rallado Aceite,94,ENLATADOS,2140,DESMENUZADO,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3295502,Galletas Wafer Vainilla,93,GALLETAS Y HARINAS,1621,GALLETAS WAFER,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3295503,Galletas Wafer Chocolate,93,GALLETAS Y HARINAS,1621,GALLETAS WAFER,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3295559,Galletas Cremadas Vainilla,93,GALLETAS Y HARINAS,1631,GALLETAS CREMADAS,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3295560,Galletas Cremadas Chocolate,93,GALLETAS Y HARINAS,1631,GALLETAS CREMADAS,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
